method,fill_rate_target,threshold,fill_rate_actual,precision,recall,f1,control_fp,rare_support,coverage_fusion,coverage_fallback
graph_smooth,0.1,0.8965140759944916,0.1,0.6590909089411157,0.3411764705480969,0.44961239853614576,0.09962377802903713,0.011233885819521179,,
graph_smooth,0.12,0.8275675177574158,0.120005,0.6274509802691273,0.3764705881910035,0.47058823053741355,0.11964058794688866,0.01279926335174954,,
MAGIC,0.02,1.5346503257751465,0.020005,0.7352941174307959,0.2941176470242215,0.4201680630746417,0.01960156492330475,0.004143646408839779,,
MAGIC,0.04,1.2719956541061395,0.04,0.7222222220216049,0.30588235290519034,0.4297520618646269,0.039568345323741004,0.00856353591160221,,
MAGIC,0.06,1.1208084201812745,0.06,0.6904761903117914,0.3411764705480969,0.45669290888709785,0.05956514343462643,0.011786372007366482,,
MAGIC,0.08,1.002996244430542,0.08,0.6904761903117914,0.3411764705480969,0.45669290888709785,0.07956194154551186,0.015285451197053407,,
MAGIC,0.081,0.9979179446697237,0.081,0.6904761903117914,0.3411764705480969,0.45669290888709785,0.08056253189381735,0.015377532228360958,,
MAGIC,0.1,0.9128432512283325,0.1,0.6818181816632232,0.35294117642906575,0.4651162745027343,0.09956874555988032,0.017587476979742174,,
MAGIC,0.12,0.8425928044319152,0.12,0.6521739129017013,0.35294117642906575,0.45801526254880254,0.1195755495742488,0.02016574585635359,,
scVI,0.02,1.521634762287139,0.02,0.705882352733564,0.2823529411432526,0.4033613403883907,0.019641588537236968,0.001289134438305709,,
scVI,0.04,1.269339928627014,0.04,0.6842105261357341,0.30588235290519034,0.42276422330358915,0.039593360082448646,0.0033149171270718232,,
scVI,0.06,1.1173695921897888,0.06,0.67499999983125,0.3176470587861592,0.4319999955788801,0.059580152289851016,0.005248618784530387,,
scVI,0.08,1.0072951221466067,0.08,0.6666666665185185,0.35294117642906575,0.4615384569408284,0.07958195335247796,0.006721915285451197,,
scVI,0.081,1.002306517481804,0.081,0.6666666665185185,0.35294117642906575,0.4615384569408284,0.08058254370078347,0.006813996316758748,,
scVI,0.1,0.9196841478347779,0.1,0.6249999998697917,0.35294117642906575,0.4511278148679971,0.09959376031858796,0.008931860036832412,,
scVI,0.12,0.8511721873283387,0.12,0.6122448978342357,0.35294117642906575,0.4477611893239029,0.11959556138121491,0.011141804788213628,,
latent_truth_scvi_select,0.02,-0.07818667307496453,0.02,0.7037037034430726,0.22352941173840832,0.33928571056600765,0.019691618054652246,0.02716390423572744,,
latent_truth_scvi_select,0.04,-0.8184292101860079,0.04,0.6842105261357341,0.30588235290519034,0.42276422330358915,0.039633383696380864,0.09889502762430939,,
latent_truth_scvi_select,0.06,-1.2192180585861208,0.06,0.6304347824716446,0.3411764705480969,0.44274808697861434,0.05956514343462643,0.16187845303867404,,
latent_truth_scvi_select,0.08,-1.5095351314544672,0.08,0.6122448978342357,0.35294117642906575,0.4477611893239029,0.07956194154551186,0.17845303867403314,,
latent_truth_scvi_select,0.081,-1.5220558884143829,0.081,0.6122448978342357,0.35294117642906575,0.4477611893239029,0.08056253189381735,0.17882136279926336,,
latent_truth_scvi_select,0.1,-1.7379964113235467,0.1,0.5882352940023068,0.35294117642906575,0.4411764658358564,0.09955873965639728,0.18747697974217312,,
latent_truth_scvi_select,0.12,-1.9265353584289557,0.12,0.5769230768121302,0.35294117642906575,0.4379561996057329,0.11956554367076574,0.19686924493554328,,
safe_latent_truth_scvi_select,0.02,1.6432181859016408,0.02,0.6944444442515432,0.2941176470242215,0.4132231362475241,0.019571547212855585,0.004604051565377533,0.1,0.9
safe_latent_truth_scvi_select,0.04,1.3794800901412956,0.04,0.6842105261357341,0.30588235290519034,0.42276422330358915,0.039513312854584204,0.0077348066298342545,0.1,0.9
safe_latent_truth_scvi_select,0.06,1.2232755851745603,0.06,0.6122448978342357,0.35294117642906575,0.4477611893239029,0.0595051080137281,0.011786372007366482,0.1,0.9
safe_latent_truth_scvi_select,0.08,1.106667790412903,0.08,0.607843137135717,0.36470588231003465,0.455882348186635,0.07951191202809657,0.01408839779005525,0.1,0.9
safe_latent_truth_scvi_select,0.081,1.101841266036034,0.081,0.5961538460392012,0.36470588231003465,0.45255473974958715,0.08051250237640208,0.01445672191528545,0.1,0.9
safe_latent_truth_scvi_select,0.1,1.0140893459320068,0.100005,0.5925925924828532,0.3764705881910035,0.460431649858703,0.09952371899420658,0.01721915285451197,0.1,0.9
safe_latent_truth_scvi_select,0.12,0.9385980367660522,0.12,0.5517241378359097,0.3764705881910035,0.4475524426681012,0.11953052300857506,0.01979742173112339,0.1,0.9
