method,fill_rate_target,threshold,fill_rate_actual,precision,recall,f1,control_fp,rare_support,coverage_fusion,coverage_fallback
scVI,0.02,1.3001520180702204,0.02,0.8999999991,0.16363636360661157,0.27692307423431956,0.02,0.005710206995003569,,
scVI,0.04,1.0539846086502063,0.04,0.772727272376033,0.30909090903471076,0.44155843736211847,0.04,0.014543183440399714,,
scVI,0.06,0.916037448644638,0.06,0.7142857140306123,0.3636363635702479,0.48192770625635073,0.06,0.02560670949321913,,
scVI,0.08,0.8197801136970526,0.08,0.6486486484733381,0.43636363628429753,0.52173912551276,0.08,0.036491791577444685,,
scVI,0.081,0.8160656062364581,0.081,0.6486486484733381,0.43636363628429753,0.52173912551276,0.081,0.03756245538900785,,
scVI,0.1,0.7469875693321228,0.1,0.6136363634969008,0.4909090908198347,0.545454540406081,0.1,0.049339757316202715,,
scVI,0.12,0.6853661012649532,0.12,0.6041666665407986,0.5272727271768595,0.5631067910302574,0.12,0.06290149892933619,,
latent_truth_scvi_select,0.02,-0.008166442885996446,0.02,0.7777777769135802,0.12727272724958677,0.21874999751464844,0.02,0.10858315488936474,,
latent_truth_scvi_select,0.04,-0.18320817589759864,0.04,0.8333333328703704,0.27272727267768593,0.4109589002814787,0.04,0.19512847965738758,,
latent_truth_scvi_select,0.06,-0.2716637068986893,0.06,0.6333333331222222,0.34545454539173553,0.4470588188567474,0.06,0.26088508208422556,,
latent_truth_scvi_select,0.08,-0.3258241808414456,0.08,0.5675675674141709,0.3818181817487603,0.45652173422258985,0.08,0.31290149892933616,,
latent_truth_scvi_select,0.081,-0.3279268324673176,0.081,0.5675675674141709,0.3818181817487603,0.45652173422258985,0.081,0.3147751605995717,,
latent_truth_scvi_select,0.1,-0.3646987557411194,0.1,0.534883720805841,0.41818181810578514,0.4693877500812162,0.1,0.3526945039257673,,
latent_truth_scvi_select,0.12,-0.3936246681213379,0.12,0.479999999904,0.43636363628429753,0.4571428520671202,0.12,0.3881156316916488,,
safe_latent_truth_scvi_select,0.02,1.3983492541313165,0.02,0.6363636357851239,0.12727272724958677,0.21212120927915518,0.02,0.0059778729478943615,0.1,0.9
safe_latent_truth_scvi_select,0.04,1.1531565999984736,0.04,0.6249999997395833,0.27272727267768593,0.3797468311168082,0.04,0.014186295503211991,0.1,0.9
safe_latent_truth_scvi_select,0.06,1.007477250099182,0.06,0.657142856955102,0.41818181810578514,0.5111111062444444,0.06,0.023554603854389723,0.1,0.9
safe_latent_truth_scvi_select,0.08,0.9065927600860603,0.08,0.6190476189002267,0.4727272726413223,0.5360824692060794,0.08,0.03390435403283369,0.1,0.9
safe_latent_truth_scvi_select,0.081,0.9025304669737818,0.081,0.6190476189002267,0.4727272726413223,0.5360824692060794,0.081,0.034261241970021415,0.1,0.9
safe_latent_truth_scvi_select,0.1,0.8283169150352478,0.1,0.539999999892,0.4909090908198347,0.514285709199093,0.1,0.04202355460385439,0.1,0.9
safe_latent_truth_scvi_select,0.12,0.767378785610199,0.12,0.5090909089983471,0.5090909089983471,0.5090909039983471,0.12,0.05067808708065667,0.1,0.9
