method,fill_rate_target,threshold,fill_rate_actual,precision,recall,f1,control_fp,rare_support,coverage_fusion,coverage_fallback
latent_truth_scvi_select,0.08,-2.9295738601684547,0.08,0.574999999928125,0.4035087718944291,0.4742267992283984,0.08,0.19517498446883413,,
latent_truth_scvi_select,0.081,-2.9613435411453235,0.081,0.574999999928125,0.4035087718944291,0.4742267992283984,0.081,0.19631393663284324,,
latent_truth_scvi_select,0.1,-3.5112315893173216,0.100005,0.5333333332740741,0.42105263154201295,0.47058823031718566,0.100005,0.2224580658521433,,
latent_truth_scvi_select,0.12,-4.010002613067628,0.12,0.5257731958220853,0.44736842101338875,0.48341231726151707,0.12,0.24704907848415822,,
safe_latent_truth_scvi_select,0.02,1.8844193172454795,0.02,0.7666666664111111,0.20175438594721454,0.3194444411014661,0.02,0.02868088631186581,0.1,0.9
safe_latent_truth_scvi_select,0.04,1.4757805919647213,0.04,0.6829268291017252,0.2456140350661742,0.36129031864308014,0.04,0.041261130668875545,0.1,0.9
safe_latent_truth_scvi_select,0.06,1.2688711380958555,0.06,0.6595744679447714,0.27192982453755005,0.38509316351992595,0.06,0.05430731000207082,0.1,0.9
safe_latent_truth_scvi_select,0.08,1.1352825880050663,0.08,0.6727272726049587,0.32456140348030166,0.43786981804278563,0.08,0.0653344377717954,0.1,0.9
safe_latent_truth_scvi_select,0.081,1.1293141168355947,0.081,0.6727272726049587,0.32456140348030166,0.43786981804278563,0.081,0.06574860219507145,0.1,0.9
safe_latent_truth_scvi_select,0.1,1.0355408906936647,0.1,0.6666666665555555,0.35087719295167746,0.4597701103712512,0.1,0.07951956926899979,0.1,0.9
safe_latent_truth_scvi_select,0.12,0.9580392241477966,0.120005,0.6197183097718707,0.3859649122468452,0.47567567089437557,0.120005,0.09401532408366121,0.1,0.9
